gymName,url,facilities,imagery,cta,facilitiesEvidence,imageryEvidence,ctaEvidence
"Hendon Fitness & Wellbeing Gym
                      Hendon","https://www.nuffieldhealth.com/gyms/hendon",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Hertford Fitness & Wellbeing Gym
                      Hertford","https://www.nuffieldhealth.com/gyms/hertford",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Hull Fitness & Wellbeing Gym
                      Hull","https://www.nuffieldhealth.com/gyms/hull",Pass,Fail,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Ilford Fitness & Wellbeing Gym
                      Ilford","https://www.nuffieldhealth.com/gyms/ilford",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, studio, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Islington Fitness & Wellbeing Gym
                      Islington","https://www.nuffieldhealth.com/gyms/islington",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Kents Hill Park","https://www.nuffieldhealth.com/gyms/kents-hill-park",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, spa, weights, free weights, cardio, exercise classes); facilities section=true","Imagery needs improvement: 6 relevant images found, 0 modern-format assets, 0 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 6, target at least 8); serve hero/gallery images in WebP or AVIF; enable lazy-loading on more non-critical images (currently 0, target at least 3).","join CTA candidates=8; top-of-page CTA=false; online-signal href=true"
"Kingston Fitness & Wellbeing Gym
                      Kingston","https://www.nuffieldhealth.com/gyms/kingston",Pass,Pass,Pass,"14 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Leatherhead Fitness & Wellbeing Gym
                      Leatherhead","https://www.nuffieldhealth.com/gyms/leatherhead",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Leeds Gym, The Light
                      Leeds","https://www.nuffieldhealth.com/gyms/leeds",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Leicester Fitness & Wellbeing Gym
                      Leicester","https://www.nuffieldhealth.com/gyms/leicester",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Letchworth Garden City Fitness & Wellbeing Gym
                      Letchworth Garden City","https://www.nuffieldhealth.com/gyms/letchworth-garden-city",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, exercise classes, personal training); facilities section=true","Imagery needs improvement: 5 relevant images found, 0 modern-format assets, 5 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 5, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Liverpool Fitness & Wellbeing Gym
                      Liverpool","https://www.nuffieldhealth.com/gyms/liverpool",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Manchester Printworks Fitness & Wellbeing Gym
                      Manchester Printworks","https://www.nuffieldhealth.com/gyms/manchester-printworks",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Medway Fitness & Wellbeing Gym
                      Medway","https://www.nuffieldhealth.com/gyms/medway",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 12 relevant images detected, with modern delivery signals (0 modern-format assets and 6 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Milngavie Fitness & Wellbeing Gym
                      Milngavie","https://www.nuffieldhealth.com/gyms/milngavie",Pass,Pass,Pass,"14 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 16 relevant images detected, with modern delivery signals (0 modern-format assets and 10 lazy-loaded images).","join CTA candidates=15; top-of-page CTA=true; online-signal href=true"
"Milton Keynes Fitness & Wellbeing Gym
                      Milton Keynes","https://www.nuffieldhealth.com/gyms/milton-keynes",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Moorgate Fitness & Wellbeing Gym
                      Moorgate","https://www.nuffieldhealth.com/gyms/moorgate",Fail,Fail,Pass,"8 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Newbury Fitness & Wellbeing Gym
                      Newbury","https://www.nuffieldhealth.com/gyms/newbury",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, exercise classes, personal training); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Norbury Fitness & Wellbeing Gym
                      Norbury","https://www.nuffieldhealth.com/gyms/norbury",Pass,Fail,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 6 relevant images found, 0 modern-format assets, 6 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 6, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Northampton Fitness & Wellbeing Gym
                      Northampton","https://www.nuffieldhealth.com/gyms/northampton",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Norwich Fitness & Wellbeing Gym
                      Norwich","https://www.nuffieldhealth.com/gyms/norwich",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Nottingham Gym, Mapperley
                      Nottingham","https://www.nuffieldhealth.com/gyms/nottingham",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Nuneaton Fitness & Wellbeing Gym
                      Nuneaton","https://www.nuffieldhealth.com/gyms/nuneaton",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 5 relevant images found, 0 modern-format assets, 5 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 5, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=false; online-signal href=true"
"Paddington Fitness & Wellbeing Gym
                      Paddington","https://www.nuffieldhealth.com/gyms/paddington",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Plymouth (Barbican) Fitness & Wellbeing Gym
                      Plymouth","https://www.nuffieldhealth.com/gyms/plymouth",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Plymouth (The Devonshire, Derriford) Health & Racquets Club
                      Devonshire","https://www.nuffieldhealth.com/gyms/devonshire-plymouth",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, exercise classes, personal training); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=18; top-of-page CTA=true; online-signal href=true"
"Portsmouth Fitness & Wellbeing Gym
                      Portsmouth","https://www.nuffieldhealth.com/gyms/portsmouth",Fail,Fail,Pass,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Preston Fitness & Wellbeing Gym
                      Preston","https://www.nuffieldhealth.com/gyms/preston",Pass,Fail,Fail,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Reading Fitness & Wellbeing Gym
                      Reading","https://www.nuffieldhealth.com/gyms/reading",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, studio, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Romford Fitness & Wellbeing Gym
                      Romford","https://www.nuffieldhealth.com/gyms/romford",Pass,Pass,Pass,"13 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, group exercise); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Rugby Fitness & Wellbeing Gym
                      Rugby","https://www.nuffieldhealth.com/gyms/rugby",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, group exercise, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Sheffield Fitness & Wellbeing Gym
                      Sheffield","https://www.nuffieldhealth.com/gyms/sheffield",Pass,Pass,Pass,"13 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Shipley Fitness & Wellbeing Gym
                      Shipley","https://www.nuffieldhealth.com/gyms/shipley",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, studio, spin, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Shoreditch Fitness & Wellbeing Gym
                      Shoreditch","https://www.nuffieldhealth.com/gyms/shoreditch",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=15; top-of-page CTA=true; online-signal href=true"
"St Albans Fitness & Wellbeing Gym
                      St Albans","https://www.nuffieldhealth.com/gyms/st-albans",Pass,Fail,Pass,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Stockley Park Fitness & Wellbeing Gym
                      Stockley Park","https://www.nuffieldhealth.com/gyms/stockley-park",Pass,Fail,Fail,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, studio, exercise classes); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Stoke Fitness & Wellbeing Gym
                      Stoke","https://www.nuffieldhealth.com/gyms/stoke",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Stoke Poges Fitness & Wellbeing Gym
                      Stoke Poges","https://www.nuffieldhealth.com/gyms/stoke-poges",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 6 relevant images found, 0 modern-format assets, 6 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 6, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Sunbury Fitness & Wellbeing Gym
                      Sunbury","https://www.nuffieldhealth.com/gyms/sunbury",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, exercise classes, personal training); facilities section=true","Imagery looks strong: 12 relevant images detected, with modern delivery signals (0 modern-format assets and 6 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Surbiton Fitness & Wellbeing Gym
                      Surbiton","https://www.nuffieldhealth.com/gyms/surbiton",Pass,Pass,Pass,"13 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=12; top-of-page CTA=true; online-signal href=true"
"Swindon Fitness & Wellbeing Gym
                      Swindon","https://www.nuffieldhealth.com/gyms/swindon",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, spa, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Taunton Fitness & Wellbeing Gym
                      Taunton","https://www.nuffieldhealth.com/gyms/taunton",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Telford Fitness & Wellbeing Gym
                      Telford","https://www.nuffieldhealth.com/gyms/telford",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"The Oxfordshire Health & Racquets Club
                      Oxfordshire","https://www.nuffieldhealth.com/gyms/oxfordshire",Pass,Pass,Pass,"13 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, studio, exercise classes); facilities section=true","Imagery looks strong: 12 relevant images detected, with modern delivery signals (0 modern-format assets and 6 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Tunbridge Wells Fitness & Wellbeing Gym
                      Tunbridge Wells","https://www.nuffieldhealth.com/gyms/tunbridge-wells",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, spa, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Twickenham Fitness & Wellbeing Gym
                      Twickenham","https://www.nuffieldhealth.com/gyms/twickenham",Pass,Fail,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, studio, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Wakefield Fitness & Wellbeing Gym
                      Wakefield","https://www.nuffieldhealth.com/gyms/wakefield",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, studio, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"
"Wandsworth Fitness & Wellbeing Gym
                      Wandsworth","https://www.nuffieldhealth.com/gyms/wandsworth",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, exercise classes, personal training); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Wandsworth Southside Fitness & Wellbeing Gym
                      Wandsworth Southside","https://www.nuffieldhealth.com/gyms/wandsworth-southside",Pass,Fail,Fail,"11 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, exercise classes, personal training); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Warwick Fitness & Wellbeing Gym
                      Warwick","https://www.nuffieldhealth.com/gyms/warwick",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 12 relevant images detected, with modern delivery signals (0 modern-format assets and 6 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"West Byfleet Fitness & Wellbeing Gym
                      West Byfleet","https://www.nuffieldhealth.com/gyms/west-byfleet",Pass,Pass,Pass,"11 facility terms found (swimming pool, pool, sauna, steam room, gym floor, cardio, exercise classes, personal training); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=14; top-of-page CTA=true; online-signal href=true"
"Weston-super-Mare Fitness & Wellbeing Gym
                      Weston-super-Mare","https://www.nuffieldhealth.com/gyms/weston-super-mare",Pass,Pass,Pass,"13 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=12; top-of-page CTA=true; online-signal href=true"
"Wimbledon Fitness & Wellbeing Gym
                      Wimbledon","https://www.nuffieldhealth.com/gyms/wimbledon",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, studio); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Wokingham Fitness & Wellbeing Gym
                      Wokingham","https://www.nuffieldhealth.com/gyms/wokingham",Fail,Fail,Fail,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 6 relevant images found, 0 modern-format assets, 6 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 6, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=11; top-of-page CTA=false; online-signal href=true"
"Wolverhampton Fitness & Wellbeing Gym
                      Wolverhampton","https://www.nuffieldhealth.com/gyms/wolverhampton",Pass,Pass,Pass,"12 facility terms found (swimming pool, pool, sauna, steam room, spa, gym floor, cardio, exercise classes); facilities section=true","Imagery looks strong: 13 relevant images detected, with modern delivery signals (0 modern-format assets and 7 lazy-loaded images).","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Worcester Fitness & Wellbeing Gym
                      Worcester","https://www.nuffieldhealth.com/gyms/worcester",Fail,Fail,Pass,"9 facility terms found (swimming pool, pool, sauna, steam room, exercise classes, personal training, pt, squash); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=13; top-of-page CTA=true; online-signal href=true"
"Yeovil Fitness & Wellbeing Gym
                      Yeovil","https://www.nuffieldhealth.com/gyms/yeovil",Pass,Fail,Fail,"10 facility terms found (swimming pool, pool, sauna, steam room, spa, exercise classes, personal training, pt); facilities section=true","Imagery needs improvement: 7 relevant images found, 0 modern-format assets, 7 lazy-loaded images. Recommended actions: add more high-quality club imagery (currently 7, target at least 8); serve hero/gallery images in WebP or AVIF.","join CTA candidates=12; top-of-page CTA=false; online-signal href=true"